sentence,phi_2d,phi_3d,loss_pct,R_2d,S_2d,D_2d,R_3d,S_3d,D_3d,grid_size,category
The Eiffel Tower stands 330 meters tall in Paris.,0.5011633703053153,0.07240297143438051,85.55302008798616,0.10416666666666667,0.18333333333333332,0.4820661480830931,0.008680555555555556,0.05641025641025641,0.07191329906970816,12,truth
"DNA contains adenine, thymine, guanine, and cytosine.",0.5126471302761693,0.05102894126888856,90.04599104233772,0.10185185185185185,0.3712121212121212,0.4748384883008606,0.00565843621399177,0.11421911421911422,0.05038263969666106,18,truth
"The speed of light is 299,792,458 meters per second.",0.5060438911666798,0.06289991945398027,87.57026405180684,0.10204081632653061,0.3,0.47543164626872064,0.007288629737609329,0.09230769230769231,0.06222712286281633,14,truth
The heart pumps oxygenated blood throughout the body.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,truth
Photosynthesis converts sunlight into chemical energy.,0.5214653865344765,0.10515540488156427,79.83463378453558,0.109375,0.21428571428571427,0.4980278865344765,0.013671875,0.06593406593406592,0.10425396257387197,8,truth
Water is composed of two hydrogen and one oxygen atoms.,0.4932298371974139,0.074946695001718,84.80491459568357,0.09917355371900827,0.2708333333333333,0.4663703330651825,0.009015777610818933,0.08333333333333333,0.07419538020081641,11,truth
The Great Wall of China is a series of fortifications.,0.5133161480830931,0.0727145811209902,85.83434762523397,0.10416666666666667,0.3,0.4820661480830931,0.008680555555555556,0.09230769230769231,0.07191329906970816,12,truth
Gravity is the force that attracts objects toward Earth.,0.48703149008997587,0.07477331466304839,84.64712935723428,0.09917355371900827,0.20833333333333334,0.4663703330651825,0.009015777610818933,0.0641025641025641,0.07419538020081641,11,truth
Mars is the fourth planet from the sun in our system.,0.5202605925275375,0.07289264379905289,85.98920524713878,0.10416666666666667,0.36666666666666664,0.4820661480830931,0.008680555555555556,0.11282051282051282,0.07191329906970816,12,truth
Mount Everest is the highest mountain above sea level.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,truth
The Amazon River is the largest river by discharge.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,truth
Honey never spoils because of its low moisture content.,0.5133161480830931,0.0727145811209902,85.83434762523397,0.10416666666666667,0.3,0.4820661480830931,0.008680555555555556,0.09230769230769231,0.07191329906970816,12,truth
The sun is a nearly perfect sphere of hot plasma.,0.48703149008997587,0.07477331466304839,84.64712935723428,0.09917355371900827,0.20833333333333334,0.4663703330651825,0.009015777610818933,0.0641025641025641,0.07419538020081641,11,truth
Humans have 206 bones in their adult skeletal system.,0.4932298371974139,0.074946695001718,84.80491459568357,0.09917355371900827,0.2708333333333333,0.4663703330651825,0.009015777610818933,0.08333333333333333,0.07419538020081641,11,truth
Oxygen makes up about 21 percent of Earth's atmosphere.,0.49601641649117384,0.06598722412663889,86.69656448199167,0.10059171597633136,0.25,0.470868487497091,0.007737824305871643,0.07692307692307693,0.06539200687234108,13,truth
The Pacific Ocean is the largest and deepest ocean.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,truth
Light travels in waves and behaves like a particle.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,truth
Bees are essential for the pollination of many plants.,0.5011633703053153,0.07240297143438051,85.55302008798616,0.10416666666666667,0.18333333333333332,0.4820661480830931,0.008680555555555556,0.05641025641025641,0.07191329906970816,12,truth
Gold is a chemical element with the symbol Au.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,truth
The brain is the central organ of the nervous system.,0.4932298371974139,0.074946695001718,84.80491459568357,0.09917355371900827,0.2708333333333333,0.4663703330651825,0.009015777610818933,0.08333333333333333,0.07419538020081641,11,truth
Iron is a metal that is essential for human health.,0.4932298371974139,0.074946695001718,84.80491459568357,0.09917355371900827,0.2708333333333333,0.4663703330651825,0.009015777610818933,0.08333333333333333,0.07419538020081641,11,truth
Earth orbits the sun once every 365.25 days.,0.48703149008997587,0.07477331466304839,84.64712935723428,0.09917355371900827,0.20833333333333334,0.4663703330651825,0.009015777610818933,0.0641025641025641,0.07419538020081641,11,truth
Volcanoes are openings in the Earth's crust.,0.48703149008997587,0.07477331466304839,84.64712935723428,0.09917355371900827,0.20833333333333334,0.4663703330651825,0.009015777610818933,0.06410256410256408,0.07419538020081641,11,truth
Bacteria are microscopic single-celled organisms.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,truth
The moon is the only natural satellite of Earth.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,truth
Sound cannot travel through a vacuum like space.,0.4866747831532512,0.08792134539117373,81.9342714201225,0.09876543209876543,0.21875,0.46506984488164627,0.010973936899862825,0.06730769230769228,0.08718271502291373,9,truth
Diamonds are formed from carbon under high pressure.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,truth
The liver is the largest internal organ in humans.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,truth
Clouds are made of water droplets or ice crystals.,0.5081078147497597,0.0725810341124432,85.71542652848413,0.10416666666666667,0.25,0.4820661480830931,0.008680555555555556,0.07692307692307693,0.07191329906970816,12,truth
